Time, Fuel system 1 status, Fuel system 2 status, Calculated load value (%), Engine coolant temperature (°C), Short term fuel % trim - Bank 1 (%), Short term fuel % trim - Bank 3 (%), Long term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 3 (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Vehicle speed (km/h), Ignition timing advance for #1 cylinder (deg), Intake air temperature (°C), Mass air flow rate (g/s), Absolute throttle position (%), Location of oxygen sensors, O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%), OBD requirements to which vehicle or engine is certified, Time since engine start (sec), Distance traveled while MIL is activated (km), Fuel rail pressure (psi), Commanded evaporative purge (%), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar), O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1), O2 sensor current wide range (Bank 1  Sensor 1) (mA), Catalyst temperature (Bank 1 Sensor 1) (°C), Control module voltage (V), Fuel/Air commanded equivalence ratio, Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Commanded throttle actuator control (%), Engine run time run while MIL is activated (min), Engine run time since DTCs cleared (min), Instant fuel economy (l/100 km), Total fuel economy (l/100 km), Fuel rate (l/hr), Instant CO2 rate (g/km), Total CO2 (kg), CO2 flow (g/s), Trip Distance (km), Trip Fuel (l), Trip Fuel Economy (l/100 km), Trip Duration (min), Hard Brake Count, Hard Accel Count, Idling Count, Seconds Idling (sec), Max Speed (km/h), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar), Engine Power (hp), Engine Torque (N•m), Fuel Remaining (l), Distance to empty (km), Latitude (deg), Longitude (deg), Altitude (m), GPS Speed (km/h), Adapter voltage (V)
06/03/2025 02:23:03.3629 PM,2.00,0.00,30.98,78.00,-0.78,0.00,0.00,0.00,0.93,898.50,19.00,3.00,29.00,4.61,18.82,3.00,0.74,99.22,6.00,114.00,0.00,1319.84,19.61,5.00,349.00,0.98,0.99,-0.02,458.60,14.42,1.00,18.43,7.84,3.92,9.80,0.00,380.00,8.07,9.14,1.53,189.38,764.56,1.00,7.98,1.20,15.00,41.15,9.00,5.00,2.00,63.53,150.00,0.35,12.40,-0.05,5.55,44.00,0.00,0.00,01\.44,-61\.13,240.15,19.15,14.50
06/03/2025 02:23:04.8797 PM,2.00,0.00,11.37,78.00,-0.78,0.00,-9.38,0.00,0.94,897.50,20.00,12.00,29.00,1.94,14.51,3.00,0.64,99.22,6.00,114.00,0.00,974.65,25.49,5.00,349.00,0.98,1.00,-0.02,457.70,14.42,1.00,14.51,7.84,3.92,5.88,0.00,380.00,3.23,9.14,0.65,75.79,764.56,0.42,7.99,1.20,14.99,41.18,9.00,5.00,2.00,63.53,150.00,0.17,11.04,-0.04,2.34,18.55,0.00,0.00,01\.44,-61\.13,239.84,20.77,14.50
06/03/2025 02:23:06.2949 PM,2.00,0.00,9.80,78.00,0.00,0.00,-6.25,0.00,0.93,1198.00,18.00,-6.00,29.00,2.72,15.69,3.00,0.82,99.22,6.00,157.00,0.00,775.95,34.12,5.00,349.00,0.98,1.00,-0.00,456.70,14.39,1.00,15.69,7.84,3.92,6.27,0.00,380.00,5.03,9.14,0.90,118.01,764.56,0.59,8.00,1.20,14.98,41.20,9.00,5.00,2.00,63.53,150.00,0.23,10.91,-0.05,3.28,19.48,0.00,0.00,01\.44,-61\.13,240.36,15.51,14.50
06/03/2025 02:23:07.8085 PM,2.00,0.00,10.59,78.00,1.56,0.00,-7.03,0.00,0.93,1082.50,17.00,-6.00,29.00,2.44,15.29,3.00,0.82,99.22,6.00,157.00,0.00,765.80,41.18,5.00,349.00,0.98,0.99,-0.03,455.70,14.39,1.00,14.90,7.84,3.92,5.49,0.00,380.00,4.78,9.14,0.81,112.14,764.56,0.53,8.00,1.20,14.97,41.23,9.00,5.00,2.00,63.53,150.00,0.16,14.56,-0.05,2.94,19.35,0.00,0.00,01\.44,-61\.13,240.13,14.88,14.50
06/03/2025 02:23:09.1863 PM,2.00,0.00,16.47,78.00,0.78,0.00,-5.47,0.00,0.94,1018.00,15.00,12.00,30.00,1.97,18.43,3.00,0.85,99.22,6.00,157.00,0.00,1147.25,59.22,5.00,349.00,0.98,0.95,-0.12,454.60,14.39,1.00,18.43,16.86,7.84,9.41,0.00,380.00,4.37,9.14,0.66,102.61,764.56,0.43,8.01,1.20,14.97,41.25,9.00,5.00,2.00,63.53,150.00,0.14,13.30,-0.04,2.37,16.61,0.00,0.00,01\.44,-61\.13,239.96,15.49,14.50
06/03/2025 02:23:10.6520 PM,2.00,0.00,10.59,78.00,-2.34,0.00,-7.81,0.00,0.93,1066.50,16.00,19.50,30.00,2.27,17.25,3.00,0.79,99.22,6.00,157.00,0.00,955.80,47.06,5.00,349.00,0.98,0.98,-0.04,452.60,14.39,1.00,18.04,16.86,7.84,8.63,0.00,380.00,4.72,9.14,0.76,110.85,764.56,0.49,8.02,1.20,14.96,41.27,9.00,5.00,2.00,63.53,150.00,0.17,12.33,-0.05,2.74,18.27,0.00,0.00,01\.44,-61\.13,240.06,15.63,14.50
06/03/2025 02:23:12.0634 PM,2.00,0.00,10.98,78.00,-0.78,0.00,-7.03,0.00,0.93,1037.00,16.00,-4.00,30.00,2.86,14.90,3.00,0.82,99.22,6.00,157.00,0.00,907.94,42.75,5.00,349.00,0.98,0.99,-0.04,451.70,14.39,1.00,14.90,10.20,5.10,5.49,0.00,380.00,5.95,9.14,0.95,139.66,764.56,0.62,8.02,1.20,14.95,41.30,9.00,5.00,2.00,63.53,150.00,0.21,12.92,-0.05,3.45,23.67,0.00,0.00,01\.44,-61\.13,240.18,14.68,14.50
06/03/2025 02:23:13.5736 PM,2.00,0.00,11.37,78.00,0.78,0.00,-7.81,0.00,0.93,998.50,15.00,21.50,30.00,2.08,14.90,3.00,0.06,99.22,6.00,157.00,0.00,690.38,44.71,5.00,349.00,0.98,1.01,0.00,450.80,14.39,1.00,14.51,7.84,3.92,4.71,0.00,380.00,4.61,9.14,0.69,108.34,764.56,0.45,8.03,1.20,14.94,41.32,9.00,5.00,2.00,63.53,150.00,0.15,12.56,-0.05,2.51,17.88,0.00,0.00,01\.44,-61\.13,240.36,13.12,14.50
06/03/2025 02:23:15.0048 PM,2.00,0.00,13.33,78.00,0.00,0.00,-8.59,0.00,0.94,888.00,12.00,9.50,30.00,1.94,14.51,3.00,0.85,99.22,6.00,157.00,0.00,738.24,47.84,5.00,349.00,0.98,0.95,-0.13,449.80,14.39,1.00,17.25,7.84,3.92,8.24,0.00,380.00,5.38,9.14,0.65,126.31,764.56,0.42,8.03,1.20,14.94,41.35,9.00,5.00,2.00,63.53,150.00,0.15,12.23,-0.04,2.34,18.75,0.00,0.00,01\.44,-61\.13,240.34,9.62,14.20
06/03/2025 02:23:16.3762 PM,2.00,0.00,44.31,78.00,-7.03,0.00,1.56,0.00,0.93,667.50,9.00,-4.00,30.00,3.36,17.25,3.00,0.67,99.22,6.00,157.00,0.00,1311.14,60.78,5.00,349.00,0.98,1.00,-0.02,447.10,14.39,0.99,17.65,9.41,4.31,8.63,0.00,380.00,12.42,9.14,1.12,291.68,764.57,0.73,8.04,1.20,14.94,41.37,9.00,5.00,2.00,63.53,150.00,0.29,10.76,-0.05,4.05,43.21,0.00,0.00,01\.44,-61\.13,240.32,9.85,14.20
06/03/2025 02:23:17.7579 PM,2.00,0.00,33.73,78.00,-7.03,0.00,-0.78,0.00,0.93,739.50,11.00,12.00,30.00,3.41,17.25,3.00,0.06,99.22,6.00,157.00,0.00,1140.00,75.29,5.00,349.00,0.98,1.02,0.02,445.70,14.39,1.00,17.25,10.59,4.71,8.24,0.00,380.00,10.36,9.14,1.14,243.33,764.57,0.74,8.04,1.20,14.93,41.39,9.00,5.00,2.00,63.53,150.00,0.39,8.09,-0.05,4.13,39.77,0.00,0.00,01\.44,-61\.13,240.55,10.88,14.40
06/03/2025 02:23:19.7925 PM,2.00,0.00,29.80,78.00,-0.78,0.00,-2.34,0.00,0.93,789.50,12.00,9.50,30.00,3.41,16.86,3.00,0.08,99.22,6.00,157.00,0.00,1103.74,76.86,5.00,349.00,0.98,1.01,0.01,444.30,14.39,1.00,16.47,10.98,5.10,7.84,0.00,380.00,9.46,9.14,1.14,222.07,764.57,0.74,8.05,1.20,14.93,41.42,9.00,5.00,2.00,63.53,150.00,0.35,8.96,-0.05,4.11,37.08,0.00,0.00,01\.44,-61\.13,240.67,11.54,14.40
06/03/2025 02:23:21.1641 PM,2.00,0.00,25.49,87.00,1.56,0.00,-3.13,0.00,0.93,849.00,12.00,2.00,30.00,3.05,16.47,3.00,0.59,99.22,6.00,171.00,0.00,971.75,71.37,5.00,350.00,0.98,0.99,-0.02,442.70,14.30,1.00,15.69,7.84,3.92,6.27,0.00,380.00,8.46,9.14,1.02,198.58,764.57,0.66,8.05,1.20,14.93,41.45,9.00,5.00,2.00,63.53,150.00,0.30,9.56,-0.05,3.68,30.84,0.00,0.00,01\.44,-61\.13,240.78,11.94,14.40
06/03/2025 02:23:22.5662 PM,2.00,0.00,13.73,87.00,1.56,0.00,-7.81,0.00,0.93,865.50,14.00,12.00,30.00,2.33,14.12,3.00,0.83,99.22,6.00,171.00,0.00,722.29,35.29,5.00,350.00,0.98,0.96,-0.09,441.90,14.30,1.00,14.12,7.84,3.92,4.71,0.00,380.00,5.54,9.14,0.78,130.03,764.57,0.51,8.06,1.20,14.92,41.47,9.00,5.00,2.00,63.53,150.00,0.21,10.29,-0.05,2.81,23.11,0.00,0.00,01\.44,-61\.13,241.13,9.07,14.40
06/03/2025 02:23:23.9362 PM,2.00,0.00,17.25,87.00,-1.56,0.00,-7.81,0.00,0.94,840.50,12.00,5.00,30.00,2.22,15.29,3.00,0.86,99.22,6.00,171.00,0.00,820.91,22.75,5.00,350.00,0.98,0.94,-0.15,440.90,14.30,1.00,14.90,7.84,3.92,5.88,0.00,380.00,6.16,9.14,0.74,144.54,764.57,0.48,8.06,1.20,14.91,41.50,9.00,5.00,2.00,63.53,150.00,0.20,10.60,-0.04,2.68,22.67,0.00,0.00,01\.44,-61\.13,239.92,5.96,13.90
06/03/2025 02:23:25.3896 PM,2.00,0.00,21.57,87.00,-3.91,0.00,-7.03,0.00,0.94,760.00,0.00,-1.50,30.00,2.49,28.24,3.00,0.63,99.22,6.00,171.00,0.00,1560.61,61.18,5.00,350.00,0.98,0.98,-0.05,438.30,14.30,1.00,21.96,21.96,10.59,13.73,0.00,380.00,0.00,9.14,0.83,0.00,764.57,0.54,8.06,1.20,14.92,41.52,9.00,5.00,3.00,63.55,150.00,0.23,10.29,-0.04,3.00,28.12,0.00,0.00,01\.44,-61\.13,240.84,0.33,13.90
06/03/2025 02:23:26.7538 PM,2.00,0.00,12.94,87.00,-8.59,0.00,-4.69,0.00,0.92,870.50,2.00,12.00,31.00,2.33,18.43,3.00,0.53,99.22,6.00,171.00,0.00,2403.28,1.96,5.00,350.00,0.98,1.02,0.02,435.70,14.30,0.99,17.65,7.84,3.92,9.41,0.00,380.00,38.77,9.14,0.78,910.21,764.57,0.51,8.06,1.20,14.92,41.54,9.00,5.00,3.00,64.99,150.00,0.24,9.11,-0.06,2.81,22.98,0.00,0.00,01\.44,-61\.13,241.14,0.53,14.40
06/03/2025 02:23:28.1482 PM,2.00,0.00,9.41,87.00,-0.78,0.00,-6.25,0.00,0.93,1140.00,6.00,0.50,31.00,3.74,15.69,3.00,0.07,99.22,6.00,171.00,0.00,1647.63,1.57,5.00,350.00,0.98,1.00,-0.02,435.00,14.30,1.00,15.69,7.84,3.92,5.88,0.00,380.00,20.97,9.14,1.26,492.30,764.57,0.82,8.07,1.20,14.92,41.57,9.00,5.00,3.00,66.36,150.00,0.33,10.51,-0.05,4.56,28.47,0.00,0.00,01\.44,-61\.13,241.23,0.49,14.40
06/03/2025 02:23:29.5720 PM,2.00,0.00,11.76,87.00,0.00,0.00,-8.59,0.00,0.93,901.50,6.00,21.00,31.00,2.19,15.29,3.00,0.67,99.22,6.00,171.00,0.00,1222.67,0.00,5.00,350.00,0.98,1.00,-0.02,434.40,14.30,1.00,15.69,7.84,3.92,6.27,0.00,380.00,12.16,9.14,0.73,285.45,764.57,0.48,8.07,1.20,14.92,41.59,9.00,5.00,3.00,67.76,150.00,0.15,13.77,-0.05,2.64,20.87,0.00,0.00,01\.44,-61\.13,241.26,0.35,14.40
06/03/2025 02:23:31.0406 PM,2.00,0.00,12.94,87.00,1.56,0.00,-8.59,0.00,0.94,888.00,4.00,13.50,31.00,2.24,14.90,3.00,0.79,99.22,6.00,171.00,0.00,819.46,0.00,5.00,350.00,0.98,0.97,-0.07,434.00,14.30,1.00,14.90,7.84,3.92,6.27,0.00,380.00,18.64,9.14,0.75,437.53,764.57,0.49,8.07,1.20,14.92,41.61,9.00,5.00,3.00,69.18,150.00,0.19,11.00,-0.04,2.70,21.65,0.00,0.00,01\.44,-61\.13,241.28,0.32,14.40
06/03/2025 02:23:32.4241 PM,2.00,0.00,20.78,87.00,0.00,0.00,-7.03,0.00,0.93,779.50,3.00,6.50,31.00,2.58,16.08,3.00,0.82,99.22,6.00,171.00,0.00,893.43,0.00,5.00,350.00,0.98,0.97,-0.07,433.50,14.30,1.00,16.08,7.84,3.92,6.67,0.00,380.00,28.62,9.14,0.86,671.92,764.58,0.56,8.07,1.20,14.92,41.64,9.00,5.00,3.00,70.65,150.00,0.22,10.72,-0.05,3.11,28.41,0.00,0.00,01\.44,-61\.13,241.43,0.23,14.40
06/03/2025 02:23:33.9376 PM,2.00,0.00,16.08,87.00,0.00,0.00,-8.59,0.00,0.93,781.50,2.00,14.00,31.00,2.33,15.69,3.00,0.71,99.22,6.00,171.00,0.00,729.54,0.00,5.00,350.00,0.98,1.00,-0.01,433.00,14.30,1.00,16.08,7.84,3.92,7.45,0.00,380.00,38.77,9.14,0.78,910.21,764.58,0.51,8.07,1.20,14.92,41.66,9.00,5.00,3.00,72.03,150.00,0.23,9.41,-0.05,2.81,25.59,0.00,0.00,01\.44,-61\.13,241.32,0.22,14.40
06/03/2025 02:23:35.3754 PM,2.00,0.00,23.53,87.00,0.00,0.00,-4.69,0.00,0.93,778.00,2.00,9.50,31.00,2.99,16.08,3.00,0.78,99.22,6.00,186.00,0.00,894.88,0.00,5.00,350.00,0.98,0.98,-0.05,432.50,14.28,1.00,15.69,7.84,3.92,6.67,0.00,380.00,49.75,9.14,1.00,1168.04,764.58,0.65,8.07,1.21,14.93,41.69,9.00,5.00,3.00,73.54,150.00,0.29,9.44,-0.05,3.60,32.99,0.00,0.00,01\.44,-61\.13,241.58,0.13,14.40
06/03/2025 02:23:36.9410 PM,2.00,0.00,26.67,87.00,0.00,0.00,-4.69,0.00,0.93,742.00,1.00,6.00,31.00,2.99,16.47,3.00,0.74,99.22,6.00,186.00,0.00,992.06,0.00,5.00,350.00,0.98,0.99,-0.04,432.00,14.28,1.00,16.86,7.84,3.92,7.45,0.00,380.00,99.50,9.14,1.00,2336.08,764.58,0.65,8.07,1.21,14.93,41.71,9.00,5.00,3.00,74.98,150.00,0.30,9.39,-0.05,3.60,34.59,0.00,0.00,01\.44,-61\.13,241.34,0.25,14.40
06/03/2025 02:23:38.3958 PM,2.00,0.00,21.18,87.00,-0.78,0.00,-6.25,0.00,0.93,786.50,2.00,12.50,31.00,2.86,16.08,3.00,0.53,99.22,6.00,186.00,0.00,842.67,0.00,5.00,350.00,0.98,1.01,0.00,431.50,14.28,1.00,16.47,7.84,3.92,7.45,0.00,380.00,47.59,9.14,0.95,1117.25,764.58,0.62,8.07,1.21,14.94,41.74,9.00,5.00,3.00,76.55,150.00,0.30,8.96,-0.05,3.45,31.21,0.00,0.00,01\.44,-61\.13,241.23,0.25,14.40
06/03/2025 02:23:39.8137 PM,2.00,0.00,22.75,87.00,0.00,0.00,-5.47,0.00,0.93,801.00,1.00,2.00,31.00,2.97,16.47,3.00,0.77,99.22,6.00,186.00,0.00,907.94,0.00,5.00,350.00,0.98,0.99,-0.03,431.00,14.28,1.00,16.08,7.84,3.92,7.45,0.00,380.00,98.84,9.14,0.99,2320.45,764.58,0.64,8.07,1.21,14.94,41.76,9.00,5.00,3.00,77.99,150.00,0.29,9.50,-0.05,3.58,31.83,0.00,0.00,01\.44,-61\.13,241.31,0.06,14.40
06/03/2025 02:23:41.2432 PM,2.00,0.00,24.71,87.00,1.56,0.00,-4.69,0.00,0.93,800.50,0.00,0.00,31.00,3.02,16.47,3.00,0.80,99.22,6.00,186.00,0.00,964.50,0.00,5.00,350.00,0.98,0.98,-0.05,430.50,14.28,1.00,16.08,7.84,3.92,7.06,0.00,380.00,0.00,9.14,1.01,0.00,764.58,0.66,8.07,1.21,14.95,41.78,9.00,5.00,3.00,79.41,150.00,0.29,9.67,-0.05,3.64,32.38,0.00,0.00,01\.44,-61\.13,241.30,0.08,14.40
06/03/2025 02:23:42.7583 PM,2.00,0.00,20.78,87.00,0.78,0.00,-6.25,0.00,0.94,837.50,0.00,1.50,31.00,2.69,15.29,3.00,0.80,99.22,6.00,186.00,0.00,831.07,0.00,5.00,350.00,0.98,0.98,-0.05,430.10,14.28,1.00,14.90,7.84,3.92,5.10,0.00,380.00,0.00,9.14,0.90,0.00,764.58,0.58,8.07,1.21,14.95,41.81,9.00,5.00,3.00,80.85,150.00,0.26,9.77,-0.04,3.24,27.57,0.00,0.00,01\.44,-61\.13,241.42,0.08,14.40
